City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,martapura,-3.4167,114.85,25.05,100,20,0.0,ID,1697415797
242,port alfred,-33.5906,26.891,17.32,94,100,3.13,ZA,1697415797
243,bryne,58.7354,5.6477,5.55,85,40,5.14,NO,1697415797
244,hailar,49.2,119.7,1.54,35,75,2.25,CN,1697415798
245,mamonovo,54.4643,19.938,10.14,70,100,7.21,RU,1697415798
246,copiapo,-27.3667,-70.3333,12.83,58,36,1.55,CL,1697415798
247,road town,18.4167,-64.6167,29.05,74,20,1.54,VG,1697415798
248,bredasdorp,-34.5322,20.0403,15.62,96,45,2.47,ZA,1697415799
249,katsuura,35.1333,140.3,19.64,63,0,4.77,JP,1697415799
250,antsiranana,-12.2787,49.2917,22.23,93,40,2.7,MG,1697415799
251,valparaiso,-33.0393,-71.6273,13.8,58,0,2.06,CL,1697415670
252,itupiranga,-5.1347,-49.3267,28.18,79,44,1.14,BR,1697415799
253,kayenta,36.7278,-110.2546,19.56,18,0,2.26,US,1697415800
254,lerwick,60.1545,-1.1494,8.0,79,72,5.11,GB,1697415800
255,karratha,-20.7377,116.8463,31.68,14,5,9.98,AU,1697415800
256,bedele,8.456,36.353,12.38,95,59,0.46,ET,1697415800
257,severo-yeniseyskiy,60.3725,93.0408,0.88,90,94,4.02,RU,1697415801
258,manitowoc,44.0667,-87.8001,10.94,73,0,4.12,US,1697415528
259,akureyri,65.6835,-18.0878,3.96,87,75,0.0,IS,1697415801
260,fada,9.5667,8.3,20.61,94,76,0.83,NG,1697415801
261,belyy yar,53.6039,91.3903,5.94,81,0,6.0,RU,1697415802
262,peto,20.1333,-88.9167,28.1,75,19,3.44,MX,1697415802
263,kismayo,-0.3582,42.5454,25.8,86,73,4.54,SO,1697415802
264,adre,13.4667,22.2,26.14,25,98,4.81,TD,1697415802
265,silute,55.3489,21.4831,7.14,72,59,3.72,LT,1697415802
266,saipan,15.1355,145.701,28.39,89,40,2.06,MP,1697415803
267,armacao de buzios,-22.7469,-41.8817,23.03,91,97,4.7,BR,1697415803
268,ola,59.5833,151.2833,3.97,61,100,2.99,RU,1697415803
269,osakarovka,50.565,72.5692,2.9,79,73,3.75,KZ,1697415803
270,taro,-8.3862,115.28,24.0,60,48,1.25,ID,1697415804
271,muroto-misakicho,33.2833,134.15,20.14,60,0,2.53,JP,1697415804
272,polyarnyy,69.1989,33.4478,5.03,90,100,10.11,RU,1697415804
273,zaragoza,41.6561,-0.8773,19.45,78,75,4.12,ES,1697415804
274,takoradi,4.8845,-1.7554,25.06,91,73,3.85,GH,1697415805
275,tynda,55.1667,124.7167,-2.33,61,3,2.19,RU,1697415805
276,merizo village,13.2658,144.6691,29.99,87,88,1.91,GU,1697415805
277,conduaga,8.862,117.4893,27.12,80,100,1.71,PH,1697415805
278,bardsir,29.9227,56.5743,13.11,35,0,1.45,IR,1697415806
279,buala,-8.145,159.5921,29.51,70,98,1.17,SB,1697415806
280,fuyuan,46.4333,127.0833,4.78,40,0,6.59,CN,1697415806
281,rongelap,11.1635,166.8941,28.33,77,39,5.72,MH,1697415806
282,fale old settlement,-9.3852,-171.2468,28.38,73,28,9.06,TK,1697415807
283,mumbai,19.0144,72.8479,27.99,89,14,2.06,IN,1697415757
284,gisborne,-38.6533,178.0042,17.3,42,82,1.07,NZ,1697415655
285,badger,64.8,-147.5333,5.63,89,0,0.0,US,1697415807
286,touros,-5.1989,-35.4608,25.46,80,100,8.34,BR,1697415808
287,princeville,45.7668,-61.2985,12.48,93,100,4.63,CA,1697415808
